,total_annual_inc,fico_score,home_ownership,installment,loan_amnt,earliest_cr_line,issue_d,dti_jnt,mort_acc,term,verification_status_joint,zip_code,open_acc,total_acc,revol_util,credit_ratio,installment_ratio,credit_history
0,134000.0,697.0,3,432.66,20000.0,082000,122015,12.32,5.0,1,2,60,6.0,18.0,56.2,0.333,0.022,5600
1,142000.0,667.0,3,498.15,15000.0,082004,122015,16.48,1.0,0,2,91,9.0,16.0,88.3,0.562,0.033,4139
2,156749.0,682.0,3,678.37,24000.0,071998,122015,30.57,1.0,1,2,77,13.0,22.0,73.1,0.591,0.028,6362
3,213000.0,677.0,3,551.5,24000.0,062001,122015,22.73,2.0,1,2,64,13.0,24.0,53.3,0.542,0.023,5296
4,123872.64000000001,682.0,2,320.7,8750.0,081998,122015,31.89,0.0,0,2,60,9.0,12.0,96.5,0.75,0.037,6331
5,98900.88,682.0,3,518.88,15000.0,111990,122015,25.33,4.0,0,2,92,13.0,28.0,45.0,0.464,0.035,9161
6,325727.04144222336,672.0,3,888.2,35000.0,041982,122015,25.2,7.0,1,2,19,22.0,45.0,85.3,0.6,0.025,12297
7,129000.0,667.0,3,265.68,8000.0,112005,122015,15.7,1.0,0,2,92,9.0,14.0,54.3,0.643,0.033,3682
8,112540.0,672.0,3,648.38,25000.0,091996,122015,17.46,3.0,1,2,98,6.0,13.0,89.1,0.462,0.026,7030
9,157000.0,667.0,3,337.83,10500.0,011992,122015,18.67,1.0,0,2,85,22.0,43.0,83.9,0.674,0.032,8735
10,185000.0,687.0,3,697.07,26600.0,121995,122015,39.83,3.0,1,2,13,18.0,43.0,94.1,0.419,0.026,7305
11,135000.0,672.0,2,461.54,14000.0,102003,122015,26.53,0.0,0,2,79,22.0,45.0,84.2,0.49,0.033,4444
12,105000.0,692.0,3,489.52,15000.0,092000,122015,23.46,4.0,0,2,41,22.0,38.0,29.8,0.632,0.033,5569
13,185000.0,707.0,3,593.4,18000.0,101999,122015,21.08,3.0,0,2,33,13.0,28.0,48.7,0.464,0.033,5905
14,100000.0,672.0,2,622.66,18000.0,012007,122015,22.08,0.0,0,2,92,11.0,33.0,61.0,0.333,0.035,3256
15,325727.04144222336,782.0,3,1115.77,35000.0,042007,122015,3.47,4.0,0,2,94,3.0,12.0,2.2,0.25,0.032,3166
16,122000.0,672.0,3,399.69,15750.0,062002,122015,35.77,4.0,1,2,27,14.0,27.0,62.6,0.519,0.025,4931
17,204000.0,697.0,3,382.55,12000.0,011998,122015,21.58,2.0,0,2,46,14.0,22.0,51.3,0.636,0.032,6543
18,154000.0,677.0,3,525.66,15000.0,112003,122015,17.9,4.0,0,2,14,21.0,36.0,48.7,0.583,0.035,4413
19,160000.0,677.0,3,937.06,35000.0,092003,122015,28.24,1.0,1,2,78,10.0,30.0,94.8,0.333,0.027,4474
20,268000.0,752.0,3,1104.71,35000.0,011989,122015,5.99,4.0,0,2,95,8.0,12.0,52.3,0.667,0.032,9830
21,130286.0,682.0,3,669.33,25000.0,011986,122015,47.04,1.0,1,2,36,16.0,22.0,37.6,0.727,0.027,10926
22,146000.0,702.0,3,590.94,19000.0,121995,122015,11.62,2.0,0,2,27,14.0,32.0,29.8,0.438,0.031,7305
23,160000.0,672.0,3,622.48,16775.0,011995,122015,32.08,3.0,0,2,31,10.0,16.0,77.6,0.625,0.037,7639
24,187000.0,737.0,3,842.25,32475.0,032002,122015,38.1,4.0,1,2,77,9.0,34.0,34.5,0.265,0.026,5023
25,128000.0,682.0,2,374.97,15000.0,082004,122015,19.46,0.0,1,2,28,9.0,20.0,46.4,0.45,0.025,4139
26,172000.0,762.0,3,989.29,35000.0,012005,122015,18.7,2.0,1,2,84,20.0,40.0,52.2,0.5,0.028,3986
27,236000.0,662.0,3,966.47,35000.0,022000,122015,22.33,2.0,1,2,57,10.0,17.0,81.8,0.588,0.028,5782
28,149000.0,667.0,3,177.15,5000.0,102004,122015,10.03,1.0,0,2,33,13.0,18.0,43.4,0.722,0.035,4078
29,243000.0,712.0,3,765.1,24000.0,081979,122015,23.48,2.0,0,2,03,18.0,43.0,82.1,0.419,0.032,13271
30,198000.0,702.0,3,675.25,21000.0,102000,122015,12.54,2.0,0,2,43,9.0,15.0,47.6,0.6,0.032,5539
31,155000.0,707.0,3,564.57,17000.0,092007,122015,26.38,2.0,0,2,93,12.0,19.0,59.8,0.632,0.033,3013
32,189000.0,707.0,3,683.94,21000.0,092002,122015,18.52,1.0,0,2,48,7.0,10.0,63.5,0.7,0.033,4839
33,220000.0,677.0,2,860.19,28000.0,082003,122015,25.7,2.0,1,2,98,15.0,32.0,75.7,0.469,0.031,4505
34,115000.0,722.0,1,312.86,10000.0,112007,122015,8.03,0.0,0,2,11,7.0,15.0,10.1,0.467,0.031,2952
35,160000.0,697.0,2,298.0,9525.0,032004,122015,17.98,0.0,0,2,38,6.0,11.0,81.2,0.545,0.031,4292
36,277000.0,672.0,3,394.12,12000.0,032001,122015,21.34,3.0,0,2,03,12.0,45.0,34.7,0.255,0.033,5388
37,63921.0,672.0,3,236.34,6550.0,071991,122015,47.04,2.0,0,2,77,10.0,25.0,84.4,0.4,0.036,8919
38,169000.0,677.0,2,282.18,8200.0,032011,122015,21.22,0.0,0,2,91,21.0,25.0,13.4,0.84,0.034,1736
39,160000.0,692.0,2,452.89,18000.0,041983,122015,29.72,0.0,1,2,19,6.0,8.0,46.2,0.75,0.025,11932
40,85600.0,677.0,3,389.48,15675.0,122000,122015,35.11,1.0,1,2,32,10.0,22.0,64.6,0.455,0.025,5478
41,157240.0,672.0,3,1262.88,35000.0,092003,122015,25.78,2.0,0,2,17,22.0,45.0,59.7,0.442,0.036,4474
42,250000.0,672.0,3,202.15,5625.0,061991,122015,23.28,1.0,0,2,07,19.0,33.0,58.0,0.576,0.036,8949
43,82200.0,697.0,2,222.4,10000.0,072006,122015,27.69,0.0,1,2,54,8.0,12.0,86.6,0.667,0.022,3440
44,235000.0,702.0,3,625.72,20000.0,061998,122015,17.98,6.0,0,2,92,9.0,29.0,68.6,0.31,0.031,6392
45,77000.0,672.0,2,328.43,10000.0,111999,122015,13.74,0.0,0,2,64,6.0,14.0,56.4,0.429,0.033,5874
46,285000.0,672.0,3,1257.8,35000.0,022002,122015,21.41,4.0,0,2,20,16.0,35.0,61.1,0.457,0.036,5051
47,133000.0,662.0,3,362.18,15400.0,051999,122015,47.04,0.0,1,2,13,6.0,38.0,63.2,0.175,0.024,6058
48,234500.0,672.0,3,393.9,12500.0,051996,122015,14.2,2.0,0,2,95,10.0,31.0,71.5,0.323,0.032,7153
49,105000.0,662.0,2,385.41,11200.0,092005,122015,18.02,0.0,0,2,99,11.0,13.0,58.6,0.846,0.034,3743
50,162792.0,707.0,3,732.2,21000.0,091998,122015,18.46,5.0,0,2,32,10.0,28.0,50.1,0.357,0.035,6300
51,169500.0,697.0,3,754.81,30000.0,072008,122015,17.88,2.0,1,2,36,11.0,16.0,59.7,0.688,0.025,2709
52,70500.0,672.0,2,399.67,15575.0,051991,122015,25.34,1.0,1,2,34,7.0,15.0,47.6,0.467,0.026,8980
53,111112.0,692.0,3,397.06,12600.0,101998,122015,18.04,1.0,0,2,15,17.0,33.0,25.3,0.515,0.032,6270
54,180000.0,682.0,3,768.19,32000.0,021994,122015,30.63,1.0,1,2,53,16.0,28.0,62.2,0.571,0.024,7973
55,195000.0,702.0,3,531.44,15000.0,091997,122015,47.04,1.0,0,2,77,15.0,28.0,66.9,0.536,0.035,6665
56,168000.0,662.0,3,1114.77,33000.0,121982,122015,36.39,3.0,0,2,30,14.0,25.0,73.6,0.56,0.034,12053
57,182000.0,667.0,3,492.65,15000.0,111989,122015,17.16,2.0,0,2,43,12.0,20.0,67.7,0.6,0.033,9526
58,165000.0,702.0,3,162.85,5000.0,051995,122015,12.14,3.0,0,2,49,7.0,24.0,65.5,0.292,0.033,7519
59,158494.0,672.0,3,891.2,25000.0,092003,122015,21.2,3.0,0,2,68,6.0,27.0,97.9,0.222,0.036,4474
60,113000.0,672.0,3,566.86,21400.0,091999,122015,36.22,2.0,1,2,75,11.0,26.0,90.2,0.423,0.026,5935
61,122000.0,662.0,3,651.9,18400.0,112001,122015,30.11,0.0,0,2,78,11.0,29.0,63.7,0.379,0.035,5143
62,134000.0,667.0,1,72.35,2000.0,021983,122015,17.18,0.0,0,2,30,10.0,16.0,55.5,0.625,0.033,11991
63,144800.0,672.0,3,154.35,4800.0,091978,122015,11.58,6.0,0,2,21,9.0,33.0,50.7,0.273,0.032,13605
64,107616.0,707.0,3,468.99,14400.0,062001,122015,28.47,1.0,0,2,89,8.0,30.0,48.2,0.267,0.033,5296
65,150000.0,712.0,1,239.1,7500.0,041995,122015,22.43,4.0,0,2,53,13.0,35.0,54.9,0.371,0.032,7549
66,95000.0,682.0,3,267.98,8000.0,101994,122015,18.87,1.0,0,2,49,7.0,12.0,56.1,0.583,0.033,7731
67,125808.6,672.0,1,741.68,28000.0,072000,122015,47.04,7.0,1,2,92,3.0,20.0,92.8,0.175,0.026,5631
68,134400.0,667.0,3,359.22,12000.0,122003,122015,13.72,2.0,1,2,03,8.0,22.0,48.4,0.364,0.03,4383
69,175000.0,667.0,2,672.16,28000.0,021993,122015,32.96,3.0,1,2,92,10.0,27.0,86.8,0.37,0.024,8338
70,198000.0,717.0,3,1149.51,35000.0,031999,122015,19.0,3.0,0,2,82,13.0,31.0,31.3,0.419,0.033,6119
71,222706.0,707.0,3,869.66,35000.0,032002,122015,25.44,5.0,1,2,18,13.0,28.0,41.3,0.464,0.025,5023
72,124052.0,692.0,2,543.8,15000.0,052005,122015,16.14,1.0,0,2,13,11.0,15.0,26.2,0.733,0.036,3866
73,180000.0,687.0,3,393.79,16000.0,081991,122015,33.72,6.0,1,2,78,11.0,45.0,47.9,0.234,0.025,8888
74,127402.0,662.0,2,315.3,9600.0,082009,122015,8.04,0.0,0,2,78,9.0,23.0,42.6,0.391,0.033,2313
75,95000.0,667.0,3,337.77,9475.0,032012,122015,30.74,1.0,0,2,74,10.0,10.0,62.3,0.923,0.036,1370
76,119000.0,707.0,3,482.32,15000.0,122004,122015,22.58,2.0,0,2,89,8.0,15.0,57.8,0.533,0.032,4017
77,325727.04144222336,677.0,3,613.34,24050.0,022001,122015,36.08,5.0,1,2,37,20.0,45.0,85.0,0.308,0.026,5416
78,141000.0,682.0,3,748.39,22000.0,011992,122015,27.31,4.0,0,2,35,8.0,26.0,56.7,0.308,0.034,8735
79,195000.0,732.0,1,803.93,24000.0,031995,122015,12.68,5.0,0,2,90,7.0,19.0,97.3,0.368,0.033,7580
80,84000.0,672.0,2,99.63,3000.0,082009,122015,8.28,0.0,0,2,92,7.0,11.0,34.5,0.636,0.033,2313
81,286000.0,672.0,3,669.46,21000.0,071994,122015,22.7,2.0,0,2,37,9.0,32.0,77.6,0.281,0.032,7823
82,141000.0,697.0,3,388.9,16200.0,032006,122015,24.36,0.0,1,2,18,11.0,19.0,48.6,0.579,0.024,3562
83,96696.0,677.0,3,266.88,12000.0,062003,122015,20.88,3.0,1,2,85,5.0,11.0,51.4,0.455,0.022,4566
84,305000.0,707.0,3,732.2,21000.0,042003,122015,19.87,1.0,0,2,91,13.0,21.0,72.9,0.619,0.035,4627
85,162000.0,692.0,2,754.81,30000.0,051989,122015,27.34,0.0,1,2,11,16.0,23.0,59.0,0.696,0.025,9710
86,124000.0,692.0,3,492.23,20000.0,052009,122015,12.61,2.0,1,2,33,10.0,21.0,69.7,0.476,0.025,2405
87,285000.0,722.0,3,799.59,35000.0,111999,122015,27.1,4.0,1,2,23,22.0,45.0,68.7,0.404,0.023,5874
88,117000.0,667.0,3,518.65,19175.0,101997,122015,32.23,2.0,1,2,43,14.0,26.0,71.4,0.538,0.027,6635
89,160000.0,682.0,3,1273.96,35000.0,121998,122015,24.66,2.0,0,2,33,14.0,22.0,53.0,0.636,0.036,6209
90,175000.0,667.0,3,723.27,19200.0,022012,122015,30.58,1.0,0,2,93,13.0,15.0,65.0,0.867,0.038,1399
91,130000.0,662.0,3,529.77,20000.0,012009,122015,29.53,1.0,1,2,34,14.0,19.0,83.9,0.737,0.026,2525
